component_id,name,kind,project,omics_type,backend,lifecycle_state,executable_now,blocking_category,blocking_reason,unblocking_action,license_spdx,integration_mode,n_missing_python,missing_python,commit,source_path
biomni.dataset.affinity_capture-ms.parquet,affinity_capture-ms.parquet,dataset,Biomni,proteomics,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.affinity_capture-rna.parquet,affinity_capture-rna.parquet,dataset,Biomni,proteomics,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.bindingdb_all_202409.tsv,BindingDB_All_202409.tsv,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.broad_repurposing_hub_molecule_with_smiles.parquet,broad_repurposing_hub_molecule_with_smiles.parquet,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.broad_repurposing_hub_phase_moa_target_info.parquet,broad_repurposing_hub_phase_moa_target_info.parquet,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.co-fractionation.parquet,co-fractionation.parquet,dataset,Biomni,proteomics,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.czi_census_datasets_v4.parquet,czi_census_datasets_v4.parquet,dataset,Biomni,scrnaseq,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.ddinter_alimentary_tract_metabolism.csv,ddinter_alimentary_tract_metabolism.csv,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.ddinter_antineoplastic.csv,ddinter_antineoplastic.csv,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.ddinter_antiparasitic.csv,ddinter_antiparasitic.csv,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.ddinter_blood_organs.csv,ddinter_blood_organs.csv,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.ddinter_dermatological.csv,ddinter_dermatological.csv,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.ddinter_hormonal.csv,ddinter_hormonal.csv,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.ddinter_respiratory.csv,ddinter_respiratory.csv,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.ddinter_various.csv,ddinter_various.csv,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.depmap_crisprgenedependency.csv,DepMap_CRISPRGeneDependency.csv,dataset,Biomni,multiomics,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.depmap_crisprgeneeffect.csv,DepMap_CRISPRGeneEffect.csv,dataset,Biomni,multiomics,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.depmap_model.csv,DepMap_Model.csv,dataset,Biomni,multiomics,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.depmap_omicsexpressionproteincodinggenestpmlogp1.csv,DepMap_OmicsExpressionProteinCodingGenesTPMLogp1.csv,dataset,Biomni,bulk_rnaseq,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.disgenet.parquet,DisGeNET.parquet,dataset,Biomni,clinical,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.dosage_growth_defect.parquet,dosage_growth_defect.parquet,dataset,Biomni,general,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.enamine_cloud_library_smiles.pkl,enamine_cloud_library_smiles.pkl,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.evebio_assay_table.csv,evebio_assay_table.csv,dataset,Biomni,general,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.evebio_bundle_table.csv,evebio_bundle_table.csv,dataset,Biomni,general,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.evebio_compound_table.csv,evebio_compound_table.csv,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.evebio_control_table.csv,evebio_control_table.csv,dataset,Biomni,general,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.evebio_detailed_result_table.csv,evebio_detailed_result_table.csv,dataset,Biomni,general,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.evebio_observed_points_table.csv,evebio_observed_points_table.csv,dataset,Biomni,general,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.evebio_summary_result_table.csv,evebio_summary_result_table.csv,dataset,Biomni,chemistry,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.evebio_target_table.csv,evebio_target_table.csv,dataset,Biomni,general,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
biomni.dataset.gene_info.parquet,gene_info.parquet,dataset,Biomni,general,dataset,READY,True,READY - executable now,,none - works today,Apache-2.0,vendor,0,,,Biomni/biomni/env_desc.py
