component_id,name,kind,project,backend,mapped_public_sources,covered,n_sources,category,mapped_to_source,note
biomedagent.agent_role.batchtaskexecutor,BatchTaskExecutor,agent_role,BioMedAgent,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
cellagent.agent_role.evaluator,Evaluator,agent_role,CellAgent,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
cellagent.agent_role.executor,Executor,agent_role,CellAgent,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
crispr-gpt.agent_role.executorstate,ExecutorState,agent_role,CRISPR-GPT,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
genomas.agent_role.geoagent,GEOAgent,agent_role,GenoMAS,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
pantheonos.agent_role.package-developer,Package Developer,agent_role,PantheonOS,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
cellagent.agent_role.planner,Planner,agent_role,CellAgent,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
pantheonos.agent_role.readme,README,agent_role,PantheonOS,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
biomedagent.agent_role.testmemorycodingagent,TestMemoryCodingAgent,agent_role,BioMedAgent,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
biomedagent.agent_role.testmemorytoolagent,TestMemoryToolAgent,agent_role,BioMedAgent,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
biomedagent.agent_role.testmemoryworkflowagent,TestMemoryWorkflowAgent,agent_role,BioMedAgent,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
origene.agent_role.toolexecutor,ToolExecutor,agent_role,OriGene,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
biomedagent.agent_role.toolmanager,ToolManager,agent_role,BioMedAgent,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
origene.agent_role.toolparseagent,ToolParseAgent,agent_role,OriGene,none,,False,0,"DECLARATIVE - specification only, no entrypoint",False,
