source,source_name,operation,smoke,status,http_status,attempts,latency_ms,result_hash,error,host,license,verified_at
ensembl,Ensembl REST,gene_lookup,True,SUCCEEDED,200,1,3266,sha256:a884d6cd4e10,,rest.ensembl.org,Apache-2.0,2026-09-03T23:22:08Z
ensembl,Ensembl REST,id_lookup,False,SUCCEEDED,200,1,1842,sha256:a884d6cd4e10,,rest.ensembl.org,Apache-2.0,2026-09-03T23:22:10Z
ensembl,Ensembl REST,sequence,False,SUCCEEDED,200,1,2863,sha256:0fc07ae9346b,,rest.ensembl.org,Apache-2.0,2026-09-03T23:22:13Z
ensembl,Ensembl REST,vep_hgvs,False,SUCCEEDED,200,1,4090,sha256:85122fba2761,,rest.ensembl.org,Apache-2.0,2026-09-03T23:22:17Z
ensembl,Ensembl REST,xrefs,False,SUCCEEDED,200,1,2734,sha256:f6b438f27b51,,rest.ensembl.org,Apache-2.0,2026-09-03T23:22:20Z
ensembl,Ensembl REST,ping,False,SUCCEEDED,200,1,1790,sha256:83adb502bcac,,rest.ensembl.org,Apache-2.0,2026-09-03T23:22:21Z
uniprot,UniProt REST,entry,True,SUCCEEDED,200,1,2942,sha256:8f27052c0853,,rest.uniprot.org,CC-BY-4.0,2026-09-03T23:22:24Z
uniprot,UniProt REST,search,False,SUCCEEDED,200,1,1725,sha256:bbb806a4906f,,rest.uniprot.org,CC-BY-4.0,2026-09-03T23:22:26Z
uniprot,UniProt REST,fasta,False,SUCCEEDED,200,1,1761,sha256:414082e3bae7,,rest.uniprot.org,CC-BY-4.0,2026-09-03T23:22:28Z
ncbi_eutils,NCBI E-utilities,esearch,False,SUCCEEDED,200,1,1373,sha256:d1614a21537d,,eutils.ncbi.nlm.nih.gov,Public-domain (US Gov),2026-09-03T23:22:29Z
ncbi_eutils,NCBI E-utilities,esummary,True,SUCCEEDED,200,1,1287,sha256:7fcc0fe20a1a,,eutils.ncbi.nlm.nih.gov,Public-domain (US Gov),2026-09-03T23:22:31Z
ncbi_eutils,NCBI E-utilities,efetch,False,SUCCEEDED,200,1,1320,sha256:c2e4e8354650,,eutils.ncbi.nlm.nih.gov,Public-domain (US Gov),2026-09-03T23:22:32Z
ncbi_eutils,NCBI E-utilities,einfo,False,SUCCEEDED,200,1,1304,sha256:67ccbf6af03c,,eutils.ncbi.nlm.nih.gov,Public-domain (US Gov),2026-09-03T23:22:33Z
chembl,ChEMBL,molecule,False,SUCCEEDED,200,1,1820,sha256:5f75bda96b83,,www.ebi.ac.uk,CC-BY-SA-3.0,2026-09-03T23:22:35Z
chembl,ChEMBL,target,True,SUCCEEDED,200,1,1766,sha256:7acbcbbdd4b8,,www.ebi.ac.uk,CC-BY-SA-3.0,2026-09-03T23:22:37Z
